medicine_id,drug_id,amount,unit
994,791,2,mg
995,792,1,mg
995,790,0.5,mg
995,793,1500,mcg
996,794,5/10,g
997,795,10,g
997,796,3.5,g
998,797,340,mg
998,798,50,mg
998,379,5,mg
998,718,2.5,mg
998,799,8,mg
999,800,1000,mg
1000,334,1000,mg
1001,334,250,mg
1002,334,750,mg
1003,801,10,mg
1004,802,100,mg
1004,803,25,mg
1005,804,30,mg
1005,416,2,mg
1006,349,100,mcg
1006,78,100,mcg
1007,349,100,mcg
1007,78,50,mcg
1008,349,100,mcg
1008,78,200,mcg
1009,349,1.25,mg
1009,352,0.5,mg
1010,349,100,mcg
1010,350,40,mcg
1011,805,0.63/2.5,mg/ml
1012,806,2.5,mg
1012,100,1000,mg
1013,806,2.5,mg
1013,100,500,mg
1014,806,5,mg
1015,807,540,mg
1015,420,50,mg
1015,582,10,mg
1016,808,500,mg
1016,809,140,mg
1016,810,150,mg
1017,382,1500,mcg
1017,811,100,mg
1018,281,50,mg
1018,272,5,mg
1019,812,50,mg
1020,813,25,mg
1021,814,5,%
1022,814,5,%
1022,815,0.1,%
1023,638,4,mg
1023,159,2.5,mg
1025,816,250,mg
1025,133,10,mg
1026,816,500,mg
1026,133,10,mg
1027,559,5,mg
1027,817,2.5,mg
1028,79,3400,iu
1028,818,5000,iu
1028,819,400,iu
1029,820,10,mg
1030,820,5,mg
1031,821,1,mg
1032,821,3,mg
1033,821,4,mg
1034,822,10,mg
1035,19,100,mg
1035,2,325,mg
1035,9,15,mg
1036,823,200,mg
1036,824,200,mg
1037,286,40,mg
1037,165,5,mg
1037,185,12.5,mg
1038,280,20,mg
1038,277,12.5,mg
